time,action-stm-count
0,0
79,1
91,2
153,0
171,1
183,2
270,0
281,1
357,0
368,1
444,0
455,1
531,0
542,1
617,0
628,1
694,0
705,1
780,0
791,1
869,0
880,1
955,0
966,1
1044,0
1055,1
1133,0
1144,1
1219,0
1230,1
1306,0
1317,1
1384,0
1395,1
1462,0
1473,1
1539,0
1550,1
1617,0
1628,1
1705,0
1716,1
1794,0
1805,1
1880,0
1891,1
1969,0
1980,1
2058,0
2069,1
2145,0
2156,1
2233,0
2244,1
2322,0
2333,1
2411,0
2422,1
2500,0
2511,1
2578,0
2589,1
2665,0
2676,1
2751,0
2762,1
2840,0
2851,1
2929,0
2940,1
3018,0
3029,1
3105,0
3116,1
3183,0
3194,1
3260,0
3271,1
3346,0
3357,1
3432,0
3443,1
3510,0
3521,1
3598,0
3609,1
3687,0
3698,1
3765,0
3776,1
3843,0
3854,1
3920,0
3931,1
4009,0
4020,1
4087,0
4098,1
4165,0
4176,1
4254,0
4265,1
4342,0
4353,1
4431,0
4442,1
4520,0
4531,1
4607,0
4618,1
4685,0
4696,1
4762,0
4773,1
4839,0
4850,1
4917,0
4928,1
4995,0
5006,1
5084,0
5095,1
5162,0
5173,1
5251,0
5262,1
5337,0
5348,1
5426,0
5437,1
5515,0
5526,1
5593,0
5604,1
5680,0
5691,1
5769,0
5780,1
5857,0
5868,1
5946,0
5957,1
6035,0
6046,1
6123,0
6134,1
6201,0
6212,1
6290,0
6301,1
6379,0
6390,1
6468,0
6479,1
6555,0
6566,1
6642,0
6653,1
6731,0
6742,1
6818,0
6829,1
6907,0
6918,1
6984,0
6995,1
7070,0
7081,1
7159,0
7170,1
7248,0
7259,1
7336,0
7347,1
7414,0
7425,1
7492,0
7503,1
7581,0
7592,1
7670,0
7681,1
7757,0
7768,1
7843,0
7854,1
7929,0
7940,1
8018,0
8029,1
8096,0
8107,1
8184,0
8195,1
8261,0
8272,1
8350,0
8361,1
8437,0
8448,1
8515,0
8526,1
8604,0
8615,1
8693,0
8704,1
8780,0
8791,1
8867,0
8878,1
8956,0
8967,1
9033,0
9044,1
9110,0
9121,1
9188,0
9199,1
9266,0
9277,1
9355,0
9366,1
9433,0
9444,1
9522,0
9533,1
9607,0
9646,1
9737,0
9768,1
9771,2
9859,0
9870,1
9893,2
9900,3
9974,0
9988,1
10014,2
10098,0
10231,1
10337,0
10363,1
10371,2
10439,0
10450,1
10557,0
10574,1
10624,0
10638,1
10674,2
10748,0
10778,1
10845,0
10856,1
10931,0
10942,1
11011,0
11025,1
11051,2
11131,0
11170,1
11247,0
11273,1
11280,2
11346,0
11357,1
11458,0
11472,1
11578,0
11592,1
11704,0
11718,1
11793,0
11804,1
11870,0
11881,1
11956,0
11967,1
12044,0
12055,1
12122,0
12133,1
12211,0
12222,1
12297,0
12308,1
12383,0
12394,1
12471,0
12482,1
12560,0
12571,1
12647,0
12658,1
12736,0
12747,1
12824,0
12835,1
12913,0
12924,1
13002,0
13013,1
13091,0
13102,1
13169,0
13180,1
13278,0
13292,1
13375,0
13386,1
13408,2
13494,0
13508,1
13617,0
13630,1
13722,0
13748,1
13755,2
13758,3
13841,0
13855,1
13959,0
13972,1
14078,0
14092,1
14162,0
14175,1
14199,2
14282,0
14295,1
14319,2
14404,0
14417,1
14442,2
14536,0
14568,1
14658,0
14669,1
14749,0
14763,1
14867,0
14881,1
14966,0
14977,1
15054,0
15080,1
15087,2
15150,0
15167,1
15221,0
15234,1
15309,0
15320,1
15404,0
15415,1
15515,0
15529,1
15635,0
15648,1
15742,0
15756,1
15875,0
15888,1
15923,2
16008,0
16021,1
16121,0
16132,1
16199,0
16210,1
16316,0
16327,1
16403,0
16414,1
16520,0
16531,1
16609,0
16620,1
16726,0
16737,1
16804,0
16815,1
16896,0
16907,1
17008,0
17021,1
17125,0
17138,1
17169,2
17224,0
17235,1
17302,0
17313,1
17389,0
17400,1
17507,0
17518,1
17596,0
17609,1
17702,0
17715,1
17746,2
17804,0
17815,1
17893,0
17904,1
17982,0
17993,1
18099,0
18110,1
18191,0
18202,1
18273,0
18284,1
18362,0
18373,1
18449,0
18460,1
18530,0
18556,1
18574,2
18629,0
18640,1
18718,0
18729,1
18826,0
18852,1
18940,0
18971,1
18974,2
19039,0
19050,1
19130,0
19141,1
19252,0
19265,1
19297,2
19377,0
19388,1
19455,0
19466,1
19533,0
19544,1
19637,0
19650,1
19734,0
19742,1
19802,0
19816,1
19849,2
19932,0
19945,1
19976,2
20034,0
20045,1
20130,0
20141,1
20217,0
20228,1
20342,0
20356,1
20390,2
20473,0
20487,1
20521,2
20573,0
20586,1
20620,2
20694,0
20708,1
20810,0
20824,1
20918,0
20931,1
20955,2
21005,0
21018,1
21049,2
21104,0
21115,1
21193,0
21204,1
21271,0
21282,1
21366,0
21377,1
21455,0
21466,1
21544,0
21558,1
21580,2
21651,0
21662,1
21779,0
21790,1
21857,0
21868,1
21946,0
21957,1
22073,0
22084,1
22190,0
22201,1
22268,0
22279,1
22360,0
22371,1
22449,0
22460,1
22538,0
22551,1
22644,0
22658,1
22749,0
22762,1
22853,0
22866,1
22974,0
22987,1
23011,2
23091,0
23104,1
23206,0
23219,1
23325,0
23338,1
23442,0
23455,1
23479,2
23559,0
23576,1
23661,0
23674,1
23709,2
23783,0
23796,1
23831,2
23901,0
23914,1
24000,0
24013,1
24088,0
24099,1
24181,0
24192,1
24270,0
24281,1
24355,0
24366,1
24449,0
24460,1
24566,0
24577,1
24677,0
24691,1
24777,0
24788,1
24855,0
24866,1
24967,0
24981,1
25069,0
25082,1
25176,0
25189,1
25307,0
25320,1
25345,2
