time,pattern-recognition-frequency
0,0
13307,1
13617,2
13855,3
13959,4
13987,5
14162,6
14189,7
14282,8
14404,9
14881,10
15221,11
15544,12
15635,13
15875,14
16008,15
17008,16
17036,17
17125,18
17152,19
17596,20
17609,21
17702,22
17729,23
19252,24
19637,25
19650,26
19816,27
19829,28
19932,29
19959,30
20370,31
20501,32
20573,33
20586,34
20599,35
20708,36
20918,37
21005,38
21032,39
22538,40
22551,41
22749,42
22762,43
22853,44
22881,45
22974,46
23001,47
23091,48
23104,49
23206,50
23325,51
23338,52
23442,53
23469,54
23661,55
23688,56
23783,57
23901,58
23914,59
24000,60
24981,61
25069,62
25176,63
25204,64
25307,65
25429,66
25456,67
26192,68
26728,69
27344,70
27455,71
27566,72
27668,73
27786,74
27799,75
27963,76
28290,77
28303,78
28316,79
28410,80
28437,81
28516,82
28616,83
28629,84
28745,85
28839,86
28934,87
28947,88
29049,89
29062,90
29075,91
29165,92
29299,93
29326,94
29418,95
29431,96
29536,97
29549,98
29562,99
29643,100
29768,101
29875,102
29888,103
29901,104
30246,105
30658,106
30685,107
30774,108
30865,109
30892,110
30994,111
31085,112
31098,113
31204,114
31600,115
32080,116
32332,117
32435,118
33149,119
33265,120
33376,121
33475,122
33570,123
34563,124
34848,125
34875,126
35577,127
35680,128
35707,129
35796,130
36433,131
36670,132
36772,133
36785,134
36798,135
37092,136
37642,137
37828,138
37842,139
37954,140
37982,141
38075,142
38088,143
39368,144
39458,145
39469,146
39565,147
39578,148
39591,149
39697,150
39782,151
39881,152
39895,153
39969,154
39996,155
40068,156
40081,157
40094,158
40182,159
40298,160
40395,161
40409,162
40500,163
40515,164
40612,165
40625,166
40638,167
40711,168
40830,169
42062,170
42089,171
42186,172
42213,173
42286,174
42367,175
42392,176
42484,177
42512,178
42609,179
42622,180
42633,181
42836,182
42952,183
42966,184
43069,185
43357,186
43370,187
43383,188
43471,189
43568,190
43892,191
43999,192
44026,193
44099,194
44120,195
44223,196
44511,197
44538,198
44621,199
44711,200
44725,201
44738,202
44832,203
44900,204
45133,205
45434,206
45447,207
45558,208
45781,209
46129,210
47440,211
47526,212
47547,213
47643,214
47729,215
47744,216
47959,217
48266,218
48510,219
48521,220
48714,221
48727,222
48820,223
48917,224
49124,225
49137,226
49220,227
49294,228
49321,229
49400,230
49413,231
49513,232
49632,233
49645,234
49659,235
49782,236
49862,237
49968,238
49983,239
50135,240
50163,241
50255,242
50270,243
50389,244
50483,245
50614,246
50628,247
50719,248
50837,249
50929,250
50957,251
51045,252
51167,253
51180,254
51254,255
51281,256
51383,257
51484,258
51511,259
51599,260
51707,261
51809,262
51941,263
52048,264
52061,265
52166,266
52322,267
52626,268
53234,269
53351,270
53469,271
53790,272
53817,273
53892,274
53920,275
54028,276
54049,277
54121,278
54142,279
54768,280
54795,281
54883,282
54897,283
54990,284
55004,285
55075,286
55089,287
55102,288
55197,289
55322,290
55336,291
55506,292
55587,293
55673,294
55690,295
55769,296
55975,297
56032,298
56060,299
56133,300
56341,301
56354,302
56444,303
56458,304
56549,305
56563,306
56652,307
56681,308
56764,309
56914,310
57086,311
57195,312
57263,313
57277,314
57290,315
57396,316
57485,317
57512,318
57696,319
57724,320
57899,321
57912,322
58738,323
58808,324
58822,325
58835,326
58927,327
59028,328
59041,329
59054,330
59136,331
59149,332
59162,333
59264,334
59368,335
59381,336
59394,337
59511,338
59604,339
59617,340
59630,341
59719,342
59732,343
59745,344
59819,345
59846,346
59934,347
61218,348
61245,349
61347,350
61360,351
61638,352
62317,353
62344,354
62439,355
62586,356
62964,357
62977,358
63163,359
63252,360
63266,361
63279,362
63488,363
63585,364
63671,365
63684,366
63758,367
63876,368
64255,369
64268,370
64370,371
64397,372
64455,373
64527,374
64734,375
65010,376
65098,377
65202,378
65215,379
65228,380
65318,381
65346,382
65456,383
65469,384
65480,385
65570,386
65584,387
65673,388
65775,389
65908,390
66022,391
66200,392
66406,393
66526,394
66749,395
66765,396
66847,397
66874,398
67041,399
67055,400
67165,401
67178,402
67191,403
67293,404
67320,405
67517,406
67530,407
67543,408
67655,409
67744,410
67851,411
67979,412
68006,413
68065,414
68079,415
68093,416
68197,417
68441,418
68454,419
68516,420
68827,421
68840,422
68889,423
69127,424
69140,425
69209,426
69629,427
69642,428
69750,429
69955,430
70024,431
70141,432
70155,433
70400,434
70572,435
70889,436
70970,437
71187,438
71305,439
71417,440
71877,441
71996,442
72009,443
72524,444
73153,445
73269,446
73360,447
73377,448
73476,449
73719,450
73732,451
73904,452
74575,453
74676,454
74693,455
74966,456
74994,457
75092,458
75730,459
75928,460
76131,461
76158,462
76248,463
76356,464
76369,465
76382,466
76476,467
76578,468
76764,469
76865,470
76897,471
77041,472
77072,473
77164,474
77192,475
77390,476
77619,477
77722,478
77739,479
77806,480
77835,481
77928,482
77945,483
78013,484
78116,485
78130,486
78143,487
78201,488
78229,489
78339,490
78417,491
78698,492
78818,493
79138,494
79250,495
79371,496
79508,497
79597,498
79744,499
79953,500
79967,501
80044,502
80131,503
80204,504
80234,505
80307,506
80378,507
80484,508
81461,509
81558,510
81655,511
81878,512
81892,513
82139,514
82153,515
82250,516
82278,517
82347,518
82374,519
82744,520
