time,problem-solving-frequency
0,0
59,1
68,2
79,3
153,4
162,5
171,6
270,7
281,8
290,9
357,10
368,11
377,12
444,13
455,14
464,15
531,16
542,17
550,18
617,19
628,20
694,21
705,22
713,23
780,24
791,25
800,26
869,27
880,28
888,29
955,30
966,31
975,32
1044,33
1055,34
1064,35
1133,36
1144,37
1152,38
1219,39
1230,40
1239,41
1306,42
1317,43
1384,44
1395,45
1462,46
1473,47
1539,48
1550,49
1617,50
1628,51
1636,52
1705,53
1716,54
1725,55
1794,56
1805,57
1813,58
1880,59
1891,60
1900,61
1969,62
1980,63
1989,64
2058,65
2069,66
2078,67
2145,68
2156,69
2164,70
2233,71
2244,72
2253,73
2322,74
2333,75
2342,76
2411,77
2422,78
2431,79
2500,80
2511,81
2578,82
2589,83
2598,84
2665,85
2676,86
2684,87
2751,88
2762,89
2771,90
2840,91
2851,92
2860,93
2929,94
2940,95
2949,96
3018,97
3029,98
3038,99
3105,100
3116,101
3183,102
3194,103
3260,104
3271,105
3279,106
3346,107
3357,108
3365,109
3432,110
3443,111
3510,112
3521,113
3529,114
3598,115
3609,116
3618,117
3687,118
3698,119
3765,120
3776,121
3843,122
3854,123
3920,124
3931,125
3940,126
4009,127
4020,128
4087,129
4098,130
4165,131
4176,132
4185,133
4254,134
4265,135
4273,136
4342,137
4353,138
4362,139
4431,140
4442,141
4451,142
4520,143
4531,144
4540,145
4607,146
4618,147
4685,148
4696,149
4762,150
4773,151
4839,152
4850,153
4917,154
4928,155
4995,156
5006,157
5015,158
5084,159
5095,160
5162,161
5173,162
5182,163
5251,164
5262,165
5270,166
5337,167
5348,168
5357,169
5426,170
5437,171
5446,172
5515,173
5526,174
5593,175
5604,176
5613,177
5680,178
5691,179
5700,180
5769,181
5780,182
5788,183
5857,184
5868,185
5877,186
5946,187
5957,188
5966,189
6035,190
6046,191
6054,192
6123,193
6134,194
6201,195
6212,196
6221,197
6290,198
6301,199
6310,200
6379,201
6390,202
6399,203
6468,204
6479,205
6488,206
6555,207
6566,208
6575,209
6642,210
6653,211
6662,212
6731,213
6742,214
6751,215
6818,216
6829,217
6838,218
6907,219
6918,220
6984,221
6995,222
7003,223
7070,224
7081,225
7090,226
7159,227
7170,228
7179,229
7248,230
7259,231
7267,232
7336,233
7347,234
7414,235
7425,236
7492,237
7503,238
7512,239
7581,240
7592,241
7601,242
7670,243
7681,244
7690,245
7757,246
7768,247
7776,248
7843,249
7854,250
7862,251
7929,252
7940,253
7949,254
8018,255
8029,256
8096,257
8107,258
8115,259
8184,260
8195,261
8261,262
8272,263
8281,264
8350,265
8361,266
8370,267
8437,268
8448,269
8515,270
8526,271
8535,272
8604,273
8615,274
8624,275
8693,276
8704,277
8713,278
8780,279
8791,280
8800,281
8867,282
8878,283
8887,284
8956,285
8967,286
9033,287
9044,288
9110,289
9121,290
9188,291
9199,292
9266,293
9277,294
9286,295
9355,296
9366,297
9433,298
9444,299
9453,300
9522,301
9533,302
9541,303
9607,304
9623,305
9639,306
9737,307
9749,308
9761,309
9859,310
9870,311
9881,312
9974,313
9988,314
10002,315
10098,316
10114,317
10130,318
10217,319
10231,320
10246,321
10337,322
10349,323
10363,324
10439,325
10450,326
10465,327
10557,328
10624,329
10638,330
10652,331
10748,332
10764,333
10778,334
10845,335
10856,336
10864,337
10931,338
10942,339
11011,340
11025,341
11039,342
11131,343
11147,344
11163,345
11247,346
11259,347
11273,348
11346,349
11357,350
11366,351
11458,352
11472,353
11488,354
11578,355
11592,356
11607,357
11704,358
11718,359
11793,360
11804,361
11870,362
11881,363
11889,364
11956,365
11967,366
11975,367
12044,368
12055,369
12122,370
12133,371
12142,372
12211,373
12222,374
12230,375
12297,376
12308,377
12316,378
12383,379
12394,380
12402,381
12471,382
12482,383
12491,384
12560,385
12571,386
12580,387
12647,388
12658,389
12667,390
12736,391
12747,392
12755,393
12824,394
12835,395
12844,396
12913,397
12924,398
12933,399
13002,400
13013,401
13022,402
13091,403
13102,404
13169,405
13180,406
13189,407
13278,408
13292,409
13375,410
13386,411
13401,412
13494,413
13508,414
13523,415
13630,416
13722,417
13734,418
13748,419
13841,420
13868,421
13972,422
14078,423
14092,424
14175,425
14295,426
14417,427
14431,428
14536,429
14549,430
14561,431
14658,432
14669,433
14678,434
14749,435
14763,436
14777,437
14867,438
14894,439
14966,440
14977,441
14987,442
15054,443
15066,444
15080,445
15150,446
15234,447
15309,448
15320,449
15330,450
15404,451
15415,452
15424,453
15515,454
15529,455
15648,456
15742,457
15756,458
15771,459
15888,460
15900,461
16021,462
16121,463
16132,464
16199,465
16210,466
16220,467
16316,468
16327,469
16336,470
16403,471
16414,472
16424,473
16520,474
16531,475
16540,476
16609,477
16620,478
