time,production-count
0,0
9890,1
10011,2
10665,3
11048,4
11620,5
11732,6
15783,7
18568,8
18864,9
19168,10
19840,11
20381,12
20512,13
26575,14
27807,15
35601,16
38099,17
50400,18
53496,19
97018,20
98781,21
99407,22
111438,23
112393,24
120556,25
151722,26
182810,27
214067,28
223331,29
229341,30
244154,31
262164,32
278546,33
281027,34
307061,35
313544,36
322677,37
366926,38
371970,39
375429,40
419765,41
432459,42
457715,43
473186,44
500577,45
523799,46
546169,47
612439,48
633797,49
657113,50
667803,51
712122,52
904014,53
946340,54
1057366,55
1057665,56
1134466,57
1142068,58
1234155,59
1329295,60
1374916,61
1415805,62
1442616,63
1469223,64
1475343,65
1543876,66
1586216,67
1592750,68
1673565,69
1849208,70
1861836,71
2041040,72
2256035,73
2294554,74
2367602,75
2658074,76
2660945,77
2665194,78
2792334,79
2864741,80
2943083,81
2998793,82
3022032,83
3136068,84
3181817,85
3256413,86
3331252,87
3425873,88
