time,score
0,0
56803,1
61367,2
99127,3
121912,4
125306,5
138195,6
176738,7
182792,8
195110,9
204998,10
221875,11
229241,12
232970,13
233947,14
239743,15
265774,16
270113,17
271443,18
272942,19
276330,20
309163,21
309786,22
310921,23
316885,24
326055,25
335006,26
336412,27
344253,28
359212,29
365215,30
372652,31
377995,32
388308,33
392700,34
397789,35
403885,36
404588,37
434433,38
441741,39
447578,40
457473,41
460186,42
466427,43
475153,44
493343,45
508833,46
514376,47
518094,48
519679,49
520177,50
523879,51
528946,52
529676,53
530059,54
534670,55
543553,56
554903,57
565415,58
568178,59
573352,60
581177,61
607473,62
607988,63
614166,64
647463,65
647694,66
649292,67
651989,68
655964,69
657173,70
664047,71
673263,72
679184,73
683818,74
691706,75
696967,76
709425,77
716310,78
721607,79
722906,80
728723,81
731520,82
759343,83
772683,84
777202,85
781335,86
785824,87
799466,88
815546,89
824925,90
851819,91
853498,92
855246,93
864914,94
865427,95
881793,96
885856,97
901382,98
953306,99
965202,100
968101,101
975731,102
983834,103
992272,104
1003923,105
1021785,106
1030836,107
1031887,108
1036688,109
1040488,110
1040932,111
1046735,112
1050756,113
1058131,114
1087524,115
1087963,116
1092261,117
1102519,118
1104696,119
1105702,120
1132502,121
1136255,122
1141448,123
1149630,124
1156073,125
1156177,126
1167747,127
1181140,128
1181670,129
1210910,130
1215365,131
1228199,132
1230454,133
1232323,134
1237427,135
1246450,136
1252179,137
1257570,138
1258187,139
1263478,140
1274130,141
1274323,142
1275898,143
1277544,144
1284689,145
1293899,146
1296907,147
1302596,148
1307088,149
1311358,150
1313227,151
1335319,152
1340055,153
1341988,154
1342135,155
1356056,156
1362456,157
1363914,158
1376023,159
1378673,160
1383894,161
1384535,162
1385926,163
1390134,164
1406682,165
1421104,166
1423463,167
1431050,168
1435550,169
1441437,170
1444223,171
1446685,172
1458254,173
1462427,174
1494620,175
1495540,176
1507013,177
1508057,178
1518236,179
1530156,180
1550969,181
1555914,182
1561938,183
1568832,184
1579104,185
1598180,186
1605517,187
1607607,188
1608045,189
1611500,190
1635458,191
1643457,192
1644620,193
1647002,194
1692146,195
1696894,196
1707613,197
1711333,198
1721388,199
1722163,200
1729368,201
1733627,202
1738046,203
1742810,204
1760454,205
1761754,206
1764125,207
1767025,208
1773568,209
1778032,210
1792119,211
1800141,212
1811797,213
1812063,214
1816522,215
1824472,216
1827901,217
1830764,218
1841186,219
1868643,220
1869595,221
1871731,222
1872435,223
1881655,224
1882203,225
1892355,226
1896460,227
1897114,228
1897433,229
1914326,230
1916589,231
1936873,232
1955772,233
1963446,234
1968797,235
1973910,236
1980062,237
1980587,238
2019698,239
2020185,240
2023236,241
2024157,242
2024719,243
2039224,244
2051835,245
2063245,246
2063854,247
2065015,248
2086578,249
2101915,250
2121818,251
2125667,252
2139900,253
2143621,254
2144576,255
2147684,256
2165828,257
2172930,258
2176938,259
2186888,260
2204730,261
2206301,262
2206513,263
2207128,264
2219238,265
2222892,266
2248943,267
2250285,268
2260260,269
2268948,270
2270335,271
2273898,272
2280364,273
2290629,274
2292920,275
2307417,276
2312858,277
2315602,278
2320963,279
2322362,280
2346957,281
2352764,282
2363929,283
2370999,284
2377624,285
2378268,286
2388197,287
2398722,288
2412572,289
2419138,290
2424629,291
2425807,292
2425928,293
2432332,294
2436789,295
2442316,296
2444416,297
2451054,298
2460669,299
2464821,300
2479018,301
2484925,302
2503825,303
2507857,304
2516657,305
2518403,306
2520360,307
2524732,308
2525007,309
2532579,310
2538897,311
2553774,312
2561068,313
2570651,314
2573527,315
2575327,316
2576080,317
2590853,318
2592386,319
2607143,320
2624060,321
2624810,322
2629672,323
2633378,324
2641446,325
2644141,326
2658415,327
2670981,328
2677788,329
2683762,330
2689535,331
2692475,332
2698160,333
2704486,334
2736842,335
2756118,336
2759546,337
2772083,338
2779707,339
2780479,340
2784674,341
2784996,342
2786251,343
2791514,344
2806331,345
2807351,346
2818280,347
2838506,348
2845153,349
2854063,350
2859734,351
2860809,352
2866541,353
2874475,354
2875472,355
2898475,356
2899675,357
2900349,358
2903381,359
2932787,360
2933824,361
2937771,362
2939320,363
2945796,364
2961600,365
2973668,366
2981871,367
2997463,368
2997916,369
2998293,370
3002771,371
3012692,372
3013155,373
3013258,374
3019438,375
3024565,376
3024778,377
3031261,378
3036239,379
3038580,380
3042994,381
3054376,382
3056522,383
3057524,384
3109016,385
3112141,386
3114211,387
3120578,388
3138570,389
3140308,390
3142081,391
3144965,392
3148274,393
3156897,394
3176702,395
3180468,396
3187375,397
3187480,398
3196990,399
3217927,400
3220606,401
3254003,402
3261672,403
3262120,404
3262507,405
3271120,406
3286533,407
3287850,408
3310796,409
3316260,410
3316936,411
3319691,412
3333121,413
3334220,414
3340287,415
3342263,416
3346339,417
3363641,418
3378757,419
3388917,420
3390925,421
3395309,422
3400077,423
3407687,424
3411532,425
3411940,426
3413098,427
3434637,428
3437058,429
3438360,430
3443150,431
3470520,432
3482894,433
3486020,434
