time,time-spent-deliberating
0,0
59,4
68,8
79,12
153,16
162,18
171,22
270,26
281,30
290,32
357,36
368,40
377,42
444,46
455,50
464,52
531,56
542,59
550,61
617,65
628,68
694,72
705,75
713,77
780,81
791,85
800,89
869,93
880,96
888,98
955,102
966,106
975,110
1044,114
1055,118
1064,122
1133,126
1144,129
1152,131
1219,135
1230,139
1239,141
1306,145
1317,149
1384,153
1395,157
1462,161
1473,164
1539,168
1550,172
1617,176
1628,179
1636,183
1705,187
1716,191
1725,195
1794,199
1805,202
1813,204
1880,208
1891,212
1900,216
1969,220
1980,224
1989,228
2058,232
2069,236
2078,238
2145,242
2156,245
2164,249
2233,253
2244,257
2253,261
2322,265
2333,269
2342,273
2411,277
2422,281
2431,285
2500,289
2511,293
2578,297
2589,301
2598,303
2665,307
2676,310
2684,312
2751,316
2762,320
2771,324
2840,328
2851,332
2860,336
2929,340
2940,344
2949,348
3018,352
3029,356
3038,358
3105,362
3116,366
3183,370
3194,373
3260,377
3271,380
3279,382
3346,386
3357,389
3365,391
3432,395
3443,399
3510,403
3521,406
3529,410
3598,414
3609,418
3618,422
3687,426
3698,430
3765,434
3776,438
3843,442
3854,445
3920,449
3931,453
3940,457
4009,461
4020,465
4087,469
4098,473
4165,477
4176,481
4185,485
4254,489
4265,492
4273,496
4342,500
4353,504
4362,508
4431,512
4442,516
4451,520
4520,524
4531,528
4540,530
4607,534
4618,538
4685,542
4696,545
4762,549
4773,552
4839,556
4850,560
4917,564
4928,568
4995,572
5006,576
5015,580
5084,584
5095,588
5162,592
5173,596
5182,600
5251,604
5262,607
5270,609
5337,613
5348,617
5357,621
5426,625
5437,629
5446,633
5515,637
5526,641
5593,645
5604,649
5613,651
5680,655
5691,659
5700,663
5769,667
5780,670
5788,674
5857,678
5868,682
5877,686
5946,690
5957,694
5966,698
6035,702
6046,705
6054,709
6123,713
6134,717
6201,721
6212,725
6221,729
6290,733
6301,737
6310,741
6379,745
6390,749
6399,753
6468,757
6479,761
6488,763
6555,767
6566,771
6575,773
6642,777
6653,781
6662,785
6731,789
6742,793
6751,795
6818,799
6829,803
6838,807
6907,811
6918,814
6984,818
6995,821
7003,823
7070,827
7081,831
7090,835
7159,839
7170,843
7179,847
7248,851
7259,854
7267,858
7336,862
7347,866
7414,870
7425,874
7492,878
7503,882
7512,886
7581,890
7592,894
7601,898
7670,902
7681,906
7690,908
7757,912
7768,915
7776,917
7843,921
7854,924
7862,926
7929,930
7940,934
7949,938
8018,942
8029,946
8096,950
8107,953
8115,957
8184,961
8195,964
8261,968
8272,972
8281,976
8350,980
8361,984
8370,986
8437,990
8448,994
8515,998
8526,1002
8535,1006
8604,1010
8615,1014
8624,1018
8693,1022
8704,1026
8713,1028
8780,1032
8791,1036
8800,1038
8867,1042
8878,1046
8887,1050
8956,1054
8967,1057
9033,1061
9044,1064
9110,1068
9121,1072
9188,1076
9199,1080
9266,1084
9277,1088
9286,1092
9355,1096
9366,1100
9433,1104
9444,1108
9453,1112
9522,1116
9533,1119
9541,1121
9607,1126
9623,1131
9639,1135
9737,1139
9749,1143
9761,1147
9859,1151
9870,1155
9881,1159
9974,1163
9988,1167
10002,1171
10098,1176
10114,1181
10130,1186
10217,1190
10231,1194
10246,1199
10337,1203
10349,1207
10363,1212
10439,1216
10450,1220
10465,1225
10557,1230
10624,1234
10638,1238
10652,1244
10748,1249
10764,1253
10778,1257
10845,1261
10856,1264
10864,1266
10931,1270
10942,1274
11011,1278
11025,1282
11039,1286
11131,1291
11147,1296
11163,1300
11247,1304
11259,1308
11273,1312
11346,1316
11357,1320
11366,1324
11458,1328
11472,1333
11488,1337
11578,1341
11592,1346
11607,1352
11704,1356
11718,1360
11793,1364
