time,visual-ltm-size
0,0
4,1
9553,2
9651,3
9746,4
9758,5
9897,6
10018,7
10259,8
10346,9
10447,10
11175,11
11256,12
13383,13
13731,14
14546,15
14558,16
15063,17
15897,18
18473,19
18539,20
18752,21
18835,22
18868,23
18949,24
18961,25
19138,26
19274,27
26106,28
26117,29
26546,30
26558,31
27123,32
27155,33
27250,34
28861,35
31093,36
31525,37
31622,38
34462,39
36102,40
36813,41
36916,42
37758,43
37977,44
38103,45
39286,46
39692,47
40404,48
42375,49
43092,50
45461,51
47185,52
47753,53
48722,54
48931,55
48936,56
49015,57
49302,58
49763,59
49892,60
50371,61
52330,62
52468,63
52649,64
55192,65
55601,66
55707,67
55881,68
56279,69
56350,70
56695,71
56773,72
56788,73
57790,74
57810,75
61661,76
63067,77
64411,78
64467,79
64657,80
64756,81
64874,82
65702,83
65770,84
65775,85
65806,86
65811,87
65922,88
65927,89
66018,90
66782,91
66870,92
67064,93
67407,94
68730,95
68899,96
68913,97
69155,98
69637,99
70695,100
71445,101
73285,102
73360,103
74250,104
74557,105
74591,106
75117,107
76696,108
76807,109
76812,110
76983,111
77072,112
77188,113
77536,114
77752,115
77757,116
77945,117
78241,118
78246,119
78339,120
78414,121
78576,122
78591,123
78956,124
79038,125
79052,126
79057,127
79133,128
79995,129
80053,130
80402,131
80604,132
80975,133
81053,134
81381,135
82148,136
83299,137
83967,138
84879,139
84884,140
84985,141
86408,142
86533,143
86538,144
86851,145
86981,146
87210,147
87387,148
87401,149
87423,150
87516,151
87586,152
88117,153
88733,154
89095,155
89111,156
90423,157
90970,158
92299,159
92313,160
92479,161
92879,162
93084,163
95157,164
96328,165
96840,166
97094,167
97524,168
97774,169
97792,170
98623,171
98766,172
98786,173
100413,174
104319,175
105150,176
105193,177
106738,178
107059,179
107087,180
108345,181
108704,182
108907,183
109098,184
109334,185
110780,186
111615,187
111694,188
112919,189
113260,190
114121,191
114188,192
114303,193
114707,194
115940,195
117407,196
117412,197
117880,198
117885,199
119479,200
119484,201
119743,202
120513,203
121133,204
121156,205
121334,206
121410,207
121424,208
125382,209
125834,210
125984,211
125998,212
126003,213
126023,214
126120,215
126186,216
126685,217
130144,218
130150,219
130248,220
130420,221
130426,222
131281,223
131578,224
131677,225
131975,226
132776,227
133204,228
134038,229
134362,230
134554,231
134559,232
135196,233
135210,234
135272,235
135559,236
136074,237
136287,238
136399,239
136605,240
136980,241
137101,242
137419,243
137425,244
140027,245
140895,246
142022,247
142533,248
147774,249
147950,250
148086,251
148417,252
148630,253
149066,254
149119,255
149125,256
149269,257
151606,258
152199,259
153323,260
153399,261
154236,262
154323,263
154439,264
154637,265
156924,266
160759,267
160964,268
164459,269
164520,270
165792,271
165988,272
166228,273
166316,274
166629,275
166705,276
166715,277
167025,278
167140,279
167826,280
167934,281
167989,282
168316,283
169012,284
169591,285
169920,286
170078,287
170237,288
171250,289
171515,290
171691,291
171817,292
172099,293
172169,294
172737,295
180864,296
182499,297
186803,298
186820,299
186833,300
186900,301
186990,302
186995,303
187934,304
188011,305
188699,306
195037,307
195666,308
195974,309
196398,310
198291,311
199187,312
199300,313
199493,314
199915,315
201791,316
202300,317
202425,318
203284,319
203356,320
204180,321
204195,322
204217,323
204579,324
204603,325
205069,326
205578,327
205608,328
205960,329
206496,330
207349,331
208747,332
209996,333
211169,334
212738,335
213721,336
213975,337
214520,338
214864,339
216255,340
217971,341
218059,342
222402,343
222583,344
222730,345
222885,346
223298,347
224665,348
225378,349
225383,350
225474,351
226890,352
228254,353
228557,354
228656,355
228726,356
230897,357
237103,358
239002,359
240416,360
242916,361
243638,362
243706,363
243829,364
243992,365
244902,366
245241,367
247270,368
247400,369
249306,370
249642,371
251043,372
251325,373
252085,374
252175,375
252344,376
252349,377
254638,378
254644,379
254770,380
254857,381
254877,382
256726,383
258046,384
258112,385
258787,386
259268,387
260415,388
265000,389
265066,390
268428,391
272665,392
279964,393
280078,394
280183,395
280800,396
281429,397
285720,398
286270,399
287302,400
289458,401
289472,402
290332,403
290415,404
292050,405
292459,406
295702,407
295770,408
295790,409
298755,410
300262,411
303274,412
306276,413
306367,414
306912,415
308231,416
310573,417
310655,418
310803,419
312406,420
313005,421
314099,422
314326,423
317106,424
317830,425
319028,426
319262,427
319967,428
322640,429
323746,430
325882,431
327401,432
329283,433
336780,434
337818,435
338358,436
339123,437
342694,438
343116,439
343433,440
343631,441
345480,442
349065,443
349306,444
350189,445
350503,446
350717,447
350739,448
350761,449
355397,450
356978,451
357212,452
359751,453
362118,454
362333,455
363306,456
363815,457
366906,458
369007,459
369121,460
370481,461
370774,462
371828,463
377714,464
377801,465
381424,466
383820,467
385406,468
389317,469
389348,470
390643,471
393711,472
395977,473
396066,474
399163,475
400450,476
400738,477
403318,478
404400,479
406646,480
408978,481
410953,482
411206,483
411224,484
414667,485
414851,486
415554,487
415695,488
415804,489
415871,490
419017,491
419982,492
422564,493
424100,494
428138,495
433347,496
438998,497
442313,498
443662,499
446664,500
451604,501
451619,502
457482,503
457923,504
459317,505
471442,506
471706,507
477349,508
480988,509
484278,510
484292,511
484497,512
484584,513
486230,514
486249,515
488105,516
488176,517
488197,518
489098,519
489332,520
489393,521
489830,522
491258,523
493427,524
494429,525
496213,526
500045,527
500758,528
500976,529
502263,530
502746,531
502988,532
503385,533
504137,534
504443,535
504465,536
511296,537
513461,538
513475,539
514384,540
514453,541
516726,542
519009,543
528176,544
528244,545
529167,546
537538,547
547834,548
554570,549
557036,550
557445,551
557491,552
558140,553
560395,554
560482,555
560926,556
561136,557
561221,558
565977,559
584750,560
584812,561
585061,562
588313,563
593784,564
599051,565
601284,566
602710,567
604233,568
612324,569
612545,570
615567,571
625262,572
626321,573
632400,574
634339,575
634405,576
643536,577
649953,578
650287,579
650713,580
650723,581
651997,582
653101,583
653875,584
654503,585
654950,586
655032,587
655676,588
661004,589
662227,590
662579,591
665349,592
672968,593
677712,594
677839,595
683172,596
683235,597
690171,598
691797,599
691864,600
694100,601
694585,602
699120,603
700194,604
702271,605
706953,606
712313,607
714198,608
714714,609
735286,610
742287,611
745774,612
766040,613
767246,614
767617,615
767653,616
767668,617
774368,618
774458,619
775001,620
785644,621
786661,622
787236,623
788721,624
790922,625
794808,626
795094,627
803302,628
804181,629
812253,630
813666,631
818974,632
820090,633
822102,634
823848,635
826830,636
828076,637
829787,638
830361,639
835103,640
841370,641
844816,642
846595,643
848448,644
863082,645
863651,646
869321,647
878404,648
882125,649
883480,650
889532,651
899894,652
900616,653
903978,654
915369,655
915540,656
917581,657
919210,658
919248,659
919402,660
919692,661
919966,662
921069,663
921571,664
922046,665
926781,666
931166,667
931383,668
931493,669
931975,670
934657,671
935062,672
936621,673
943777,674
946248,675
946724,676
949390,677
952129,678
953652,679
953994,680
956510,681
958402,682
968393,683
970435,684
972656,685
972735,686
973389,687
979601,688
982052,689
982112,690
991811,691
991938,692
995032,693
996474,694
999150,695
999165,696
1012565,697
1015772,698
1015946,699
1016041,700
1016368,701
1016428,702
1016609,703
1020597,704
1020636,705
1021004,706
1022899,707
1027710,708
1027725,709
1029299,710
1030690,711
1034548,712
1054978,713
1054998,714
1057329,715
1057551,716
1079008,717
1089868,718
1104605,719
1110801,720
1111045,721
1125251,722
1125392,723
1126021,724
1126272,725
1126874,726
1128377,727
1130273,728
1134413,729
1142878,730
1149246,731
1152412,732
1159273,733
1163619,734
1165017,735
1173591,736
1181028,737
1215065,738
1238745,739
1244818,740
1244835,741
1250780,742
1253389,743
1274411,744
1279952,745
1279994,746
1280014,747
1284776,748
1284897,749
1304517,750
1304558,751
1304616,752
1314780,753
1315679,754
1321973,755
1326158,756
1326263,757
1328864,758
1333374,759
1342435,760
1342518,761
1342612,762
1347713,763
1384372,764
1404469,765
1416980,766
1417074,767
1417388,768
1417466,769
1417563,770
1419475,771
1420415,772
1420437,773
1421257,774
1437632,775
1441307,776
1456829,777
1457300,778
1470351,779
1471376,780
1474208,781
1475236,782
1482875,783
1483214,784
1486175,785
1489104,786
1496331,787
1497156,788
1497389,789
1511763,790
1516860,791
1524116,792
1536905,793
1536937,794
1538993,795
1539365,796
1540977,797
1546685,798
1548925,799
1555801,800
1570994,801
1571963,802
1572101,803
1582014,804
1585300,805
1585823,806
1586227,807
1586296,808
1586314,809
1586488,810
1586748,811
1589845,812
1593664,813
1601497,814
1604620,815
1605618,816
1610087,817
1610137,818
1613201,819
1614575,820
1617476,821
1618118,822
1618268,823
1651056,824
1670302,825
1673387,826
1673518,827
1676787,828
1677576,829
1691796,830
1692355,831
1694720,832
1695425,833
1710332,834
1728934,835
1759370,836
1765443,837
1775766,838
1775780,839
1776588,840
1776951,841
1777391,842
1810553,843
1829846,844
1829912,845
1831433,846
1834785,847
1839723,848
1839744,849
1854937,850
1857911,851
1858651,852
1871633,853
1871700,854
1871721,855
1903095,856
1911770,857
1915978,858
1918676,859
1919317,860
1920054,861
1920895,862
1929042,863
1931376,864
1943392,865
1945463,866
1945503,867
1946551,868
1949010,869
1954873,870
1960962,871
1970330,872
1971931,873
1973345,874
1973589,875
1986943,876
1986993,877
1987211,878
1989709,879
1996070,880
2006742,881
2012824,882
2015625,883
2026035,884
2030021,885
2032505,886
2033320,887
2040448,888
2041744,889
2047896,890
2050521,891
2052746,892
2078765,893
2078771,894
2080314,895
2081048,896
2092932,897
2123202,898
2129260,899
2157103,900
2158445,901
2158569,902
2167788,903
2168130,904
2169013,905
2169117,906
2169323,907
2172581,908
2172637,909
2174744,910
2175262,911
2196593,912
2201479,913
2205766,914
2209860,915
2231316,916
2231547,917
2244537,918
2244600,919
2245165,920
2247249,921
2247270,922
2252118,923
2268634,924
2272905,925
2288451,926
2294537,927
2297035,928
2304419,929
2305696,930
2313340,931
2317129,932
2348024,933
2353168,934
2353428,935
2354382,936
2358578,937
2368496,938
2375045,939
2392753,940
2392815,941
2421993,942
2422717,943
2428887,944
2447195,945
2447671,946
2450329,947
2450598,948
2452754,949
2472339,950
2475090,951
2483988,952
2490648,953
2526473,954
2528299,955
2528805,956
2528906,957
2528978,958
2528985,959
2529322,960
2557661,961
2574321,962
2574501,963
2582774,964
2591356,965
2594381,966
2611439,967
2622618,968
2626713,969
2638814,970
2647193,971
2651525,972
2665875,973
2667704,974
2667870,975
2691045,976
2717551,977
2725510,978
2732286,979
2762739,980
2767209,981
2774382,982
2794115,983
2809913,984
2813852,985
2813963,986
2814442,987
2814878,988
2821211,989
2833169,990
2833803,991
2834041,992
2835644,993
2863470,994
2867045,995
2873310,996
2892626,997
2895317,998
2895854,999
2907784,1000
2926099,1001
2997741,1002
2998804,1003
3013537,1004
3016093,1005
3016434,1006
3016528,1007
3016830,1008
3036414,1009
3036777,1010
3053812,1011
3056694,1012
3058090,1013
3058105,1014
3063694,1015
3072673,1016
3079737,1017
3079927,1018
3086869,1019
3090362,1020
3092243,1021
3092328,1022
3095027,1023
3095080,1024
3106557,1025
3143312,1026
3143389,1027
3149884,1028
3150248,1029
3156718,1030
3158621,1031
3159174,1032
3178950,1033
3208847,1034
3227067,1035
3236776,1036
3270937,1037
3286860,1038
3306424,1039
3311567,1040
3337866,1041
3337881,1042
3365491,1043
3366567,1044
3367046,1045
3372180,1046
3373132,1047
3375402,1048
3377958,1049
3378041,1050
3396120,1051
3412989,1052
3486682,1053
3487015,1054
