time,visual-stm-count
0,0
9557,1
9612,0
9617,1
9628,0
9633,1
9646,0
9654,1
9741,0
9749,1
9753,0
9761,1
9771,0
9778,1
9863,0
9881,1
9893,0
9983,1
9992,0
9997,1
10014,0
10021,1
10103,0
10108,1
10119,0
10124,1
10136,0
10141,1
10221,0
10227,1
10235,0
10240,1
10255,0
10263,1
10341,0
10349,1
10353,0
10358,1
10374,0
10379,1
10443,0
10460,1
10474,0
10479,1
10564,0
10569,1
10628,0
10633,1
10642,0
10648,1
10652,2
10664,0
10669,1
10753,0
10758,1
10768,0
10774,1
10786,0
10955,1
11015,0
11021,1
11029,0
11034,1
11051,0
11056,1
11136,0
11141,1
11152,0
11157,1
11170,0
11178,1
11251,0
11259,1
11263,0
11269,1
11283,0
11382,1
11462,0
11468,1
11477,0
11483,1
11496,0
11502,1
11582,0
11587,1
11597,0
11602,1
11607,2
11619,0
11624,1
11708,0
11714,1
11725,2
11731,0
13202,1
13282,0
13288,1
13296,0
13302,1
13316,0
13321,1
13379,0
13395,1
13411,0
13416,1
13498,0
13503,1
13512,0
13517,1
13533,0
13539,1
13620,0
13625,1
13637,2
13643,0
13649,1
13726,0
13734,1
13738,0
13744,1
13758,0
13763,1
13845,0
13851,1
13858,0
13863,1
13878,0
13884,1
13962,0
13967,1
13977,0
13982,1
13987,2
13997,0
14003,1
14082,0
14088,1
14101,0
14106,1
14165,0
14170,1
14179,0
14184,1
14199,0
14205,1
14285,0
14290,1
14303,2
14309,0
14314,1
14407,0
14412,1
14421,0
14426,1
14442,0
14448,1
14452,2
14541,0
14549,1
14553,0
14561,1
14571,0
14693,1
14753,0
14759,1
14767,0
14772,1
14787,0
14792,1
14871,0
14877,1
14884,0
14889,1
14904,0
15001,1
15058,0
15066,1
15070,0
15076,1
15090,0
15095,1
15157,0
15162,1
15224,0
15229,1
15241,2
15247,0
15437,1
15519,0
15524,1
15533,0
15538,1
15553,0
15559,1
15638,0
15643,1
15655,2
15661,0
15667,1
15746,0
15752,1
15761,0
15767,1
15771,2
15782,0
15788,1
15878,0
15884,1
15892,0
15900,1
15907,2
15913,0
15918,1
16011,0
16016,1
16028,2
16034,0
16932,1
17011,0
17016,1
17026,0
17031,1
17036,2
17046,0
17052,1
17128,0
17134,1
17142,0
17148,1
17152,2
17162,0
17543,1
17599,0
17604,1
17615,2
17621,0
17627,1
17705,0
17710,1
17719,0
17725,1
17729,2
17739,0
18542,1
18546,0
18551,1
18567,0
18756,1
18830,0
18838,1
18842,0
18847,1
18863,0
18871,1
18944,0
18952,1
18956,0
18964,1
18974,0
19074,1
19134,0
19151,1
19156,2
19167,0
19172,1
19255,0
19261,1
19269,0
19277,1
19284,2
19290,0
19558,1
19640,0
19646,1
19653,0
19659,1
19674,0
19679,1
19742,0
19747,1
19806,0
19811,1
19819,0
19825,1
19829,2
19839,0
19845,1
19935,0
19941,1
19949,0
19955,1
19959,2
19969,0
20252,1
20346,0
20351,1
20360,0
20365,1
20370,2
20380,0
20386,1
20477,0
20483,1
20491,0
20497,1
20501,2
20511,0
20516,1
20576,0
20581,1
20589,0
20595,1
20599,2
20610,0
20615,1
20698,0
20704,1
20711,0
20717,1
20731,0
20737,1
20814,0
20820,1
20831,2
20837,0
20843,1
20921,0
20926,1
20939,2
20945,0
20950,1
21008,0
21013,1
21022,0
21027,1
21032,2
21042,0
21490,1
21548,0
21554,1
21562,0
21567,1
21583,0
22484,1
22541,0
22546,1
22557,2
22563,0
22569,1
22648,0
22654,1
22668,0
22674,1
22752,0
22757,1
22768,2
22774,0
22780,1
22856,0
22862,1
22871,0
22877,1
22881,2
22891,0
22897,1
22977,0
22983,1
22991,0
22997,1
23011,0
23016,1
23094,0
23100,1
23107,0
23113,1
23127,0
23133,1
23209,0
23215,1
23223,0
23229,1
23243,0
23248,1
23328,0
23334,1
23341,0
23347,1
23361,0
23367,1
23445,0
23451,1
23459,0
23465,1
23479,0
23484,1
23566,0
23571,1
23664,0
23669,1
23678,0
23684,1
23688,2
23699,0
23704,1
23786,0
23791,1
23800,0
23805,1
23810,2
23821,0
23826,1
23904,0
23910,1
23917,0
23923,1
23938,0
23943,1
24003,0
24008,1
24020,2
24026,0
24602,1
24681,0
24687,1
24695,0
24701,1
24715,0
24890,1
24971,0
24976,1
24990,0
24996,1
25072,0
25078,1
25089,2
25095,0
25101,1
25179,0
25185,1
25194,0
25200,1
25204,2
25214,0
25220,1
25310,0
25316,1
25324,0
25330,1
25345,0
25350,1
25432,0
25437,1
25446,0
25451,1
25456,2
25466,0
26008,1
26102,0
26121,1
26131,0
26136,1
26195,0
26200,1
26210,0
26215,1
26230,0
26236,1
26327,0
26333,1
26341,0
26347,1
26361,0
26462,1
26542,0
